"Cancer_type","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Bladder","B_cells_naive",-0.271258631277275,0.129395798730667,-0.524869736540175,-0.0176475260143746,0.0360513265673358,0.0598063588250386,0.363128059997898,0.352501859769506
"Bladder","B_cells_memory",-0.0961295537130956,0.218637425157347,-0.524651032694068,0.332391925267876,0.660172035370884,0.236171630323305,0.269390684222163,0.93701837278448
"Bladder","Plasma_cells",-0.0189994948430641,0.162968250036047,-0.338411395537235,0.300412405851107,0.907189696099852,0.287199243026919,0.23978732916006,0.96745012591018
"Bladder","T_cells_CD8",-0.460509235197475,0.185277596201486,-0.823646650894543,-0.0973718195004074,0.0129366115248284,0.2815773989811,0.243094426374049,0.221441836775885
"Bladder","T_cells_CD4_naive",0.16711614648591,0.162273353238383,-0.150933781511866,0.485166074483686,0.303083510380795,0,0.56518039503873,0.713874639266839
"Bladder","T_cells_CD4_memory_resting",0.34274976948543,0.130611603636946,0.0867557303939965,0.598743808576864,0.00868551126028172,0,0.771021068544502,0.221441836775885
"Bladder","T_cells_CD4_memory_activated",-0.233700080794779,0.241855916708747,-0.707728966991843,0.240328805402285,0.333905030930518,0.657027721126841,0.0328498945989344,0.716674212728916
"Bladder","T_cells_follicular_helper",-0.364328903913464,0.149589956104141,-0.657519830326509,-0.0711379775004199,0.0148705195639611,0.303568803679764,0.230100145963431,0.221441836775885
"Bladder","T_cells_regulatory_.Tregs.",-0.00495261752277374,0.121368231159414,-0.242829979462557,0.23292474441701,0.96745012591018,0,0.420738574348855,0.96745012591018
"Bladder","T_cells_gamma_delta",-0.309904067556425,0.249330994949982,-0.798583837887927,0.178775702775076,0.213889056401035,0.425049256685763,0.156523471526455,0.672222748688966
"Bladder","NK_cells_resting",-0.165647020410381,0.203287000360823,-0.564082219642775,0.232788178822013,0.41516209604087,0,0.449917079717792,0.788674339340854
"Bladder","NK_cells_activated",-0.322410859612552,0.164275006841695,-0.644383956582345,-0.000437762642758799,0.0496893217046742,0.384328070945246,0.181357626138829,0.397514573637393
"Bladder","Monocytes",0.332273432104154,0.136737341205316,0.0642731679999698,0.600273696208339,0.0150983070529012,0,0.947891752907606,0.221441836775885
"Bladder","Macrophages_M0",0.166043692731326,0.164215080294832,-0.155811950364898,0.487899335827549,0.311951594829968,0.343811454988275,0.20596969093725,0.713874639266839
"Bladder","Macrophages_M1",-0.361622849471791,0.200172552708134,-0.75395384347318,0.0307081445295972,0.0708315949651075,0.591562292672539,0.0616760245915522,0.474940359399117
"Bladder","Macrophages_M2",-0.0611870897763635,0.148480179969629,-0.352202894934862,0.229828715382135,0.680273989077118,0.114246263134366,0.335723560066152,0.938380396188254
"Bladder","Dendritic_cells_resting",-0.1026276542821,0.25536385595665,-0.603131614910408,0.397876306346207,0.687766497915224,0.0692706060992809,0.358464387862077,0.938380396188254
"Bladder","Dendritic_cells_activated",0.0727647457357757,0.135393097637669,-0.19260084938937,0.338130340860921,0.590968415454092,0,0.439295909564323,0.908750963175568
"Bladder","Mast_cells_resting",-0.170427097853661,0.149845914290237,-0.464119693093,0.123265497385679,0.25539242645104,0,0.776121846155639,0.713874639266839
"Bladder","Mast_cells_activated",0.245809029388409,0.140851265427968,-0.0302543780272998,0.521872436804119,0.080955743079395,0,0.920062528298221,0.474940359399117
"Bladder","Eosinophils",0.125405848617217,0.129186673941121,-0.127795379589899,0.378607076824334,0.331680941731181,0.436896987047808,0.149320049804052,0.716674212728916
