"Cancer_type","CellType","Coef","SE","CI_lower","CI_upper","Pval","I2","Q_Pval","FDR"
"Other","T_cells_CD4_naive",0.0230751498360551,0.0971269673660938,-0.167290208129086,0.213440507801196,0.812209060892139,0.107979988399025,0.344424548538147,0.910079976578722
"Lung","T_cells_CD4_memory_resting",-0.081911643684909,0.0524293217441577,-0.184671226037321,0.0208479386675029,0.118211429324633,0.192086430921351,0.288280773242609,0.531451394083697
"Melanoma","T_cells_CD4_memory_resting",0.18414836915301,0.0853903787502505,0.0167863021762848,0.351510436129735,0.0310409742455351,0.360491725812055,0.180910202148479,0.40409133906079
"Other","T_cells_CD4_memory_resting",-0.0813170767262607,0.100349000662212,-0.277997503908782,0.115363350456261,0.417743259979859,0.330634169933505,0.200962435004018,0.725554083122913
"Lung","T_cells_CD4_memory_activated",-0.060833816724822,0.0435641483422728,-0.146217978492837,0.024550345043193,0.162588272125923,0,0.655206207176553,0.555816424064486
"Melanoma","T_cells_CD4_memory_activated",0.0944726547993125,0.0710375711824954,-0.0447584262675789,0.233703735866204,0.183552200745556,0,0.563786548091178,0.555816424064486
"Other","T_cells_CD4_memory_activated",-0.177544193692243,0.0919144059508834,-0.357693119016369,0.00260473163188207,0.0534057684969148,0,0.650948423753138,0.440597590099547
"Lung","T_cells_follicular_helper",0.0124222963719593,0.0423553553617251,-0.0705926746894173,0.0954372674333359,0.769302405773789,0,0.909015962991847,0.910079976578722
"Melanoma","T_cells_follicular_helper",-0.114858931688373,0.0883713938742344,-0.288063680945476,0.0583458175687299,0.193693602325503,0,0.958174236158997,0.555816424064486
"Other","T_cells_follicular_helper",0.0393554548685716,0.0742011719390516,-0.106076169742634,0.184787079479777,0.595842536183598,0,0.506593483725639,0.893763804275396
"Lung","T_cells_regulatory_.Tregs.",0.00979439955468786,0.0808216801318542,-0.148613182673763,0.168201981783139,0.903544267187742,0.509399686919694,0.0699849601630922,0.977605272694934
"Melanoma","T_cells_regulatory_.Tregs.",0.0668145994227895,0.108545984945257,-0.14593162173634,0.27956082058192,0.53819692178814,0.497348337142613,0.0931364271788972,0.857298987180672
"Other","T_cells_regulatory_.Tregs.",0.235780839380492,0.153653857710405,-0.0653751878175449,0.536936866578528,0.124908301567394,0.684422024728107,0.0129770989626357,0.531451394083697
"Lung","T_cells_gamma_delta",0.0028178144602196,0.081686766849181,-0.157285306577696,0.162920935498135,0.972482142033682,0.554433082508488,0.061668698692435,0.991445474727558
"Melanoma","T_cells_gamma_delta",-0.0277654689500905,0.0726520427290663,-0.170160856102326,0.114629918202144,0.702334886838423,0,0.96543921532277,0.910079976578722
"Other","T_cells_gamma_delta",0.0802440740293178,0.0795219928130029,-0.0756161678630208,0.236104315921656,0.312936139064037,0,0.552191827985834,0.613342794939664
"Lung","NK_cells_resting",0.0444604056414868,0.0385645625211566,-0.0311247479795234,0.120045559262497,0.248958654319866,0,0.94194326943565,0.603671543895057
"Melanoma","NK_cells_resting",0.214269925577009,0.0713794078195257,0.0743688570129424,0.354170994141076,0.00268348684869252,0,0.451612477082482,0.0653454725469664
"Other","NK_cells_resting",0.0233174127648612,0.106907940581643,-0.186218300436508,0.23285312596623,0.827345433253384,0.234191866272045,0.265148899039273,0.910079976578722
"Lung","NK_cells_activated",-0.0519267980937183,0.0460179240971266,-0.142120271967384,0.0382666757799476,0.259149445026969,0,0.544594878788878,0.603671543895057
"Melanoma","NK_cells_activated",0.0200196964266855,0.0711297570584437,-0.119392065636948,0.159431458490319,0.778362832901753,0.0884361188342591,0.356027363854814,0.910079976578722
"Other","NK_cells_activated",-0.133493266668829,0.108388578249209,-0.34593097637278,0.0789444430351209,0.218092011371391,0.240503435776323,0.261015480277166,0.599753031271324
"Lung","Monocytes",0.0255179510906959,0.0413949304146644,-0.055614621664588,0.10665052384598,0.53759682513809,0,0.611227582268755,0.857298987180672
"Melanoma","Monocytes",0.0740039723310164,0.0715393784857822,-0.0662106329774964,0.214218577639529,0.300925433357653,0.0539446344634698,0.376017391906773,0.613342794939664
"Other","Monocytes",0.0337491935979611,0.082368895511385,-0.127690875050696,0.195189262246619,0.68200236357929,0,0.754682821403365,0.910079976578722
"Lung","Macrophages_M0",0.161721897596423,0.041240565923528,0.0808918736842581,0.242551921508588,8.80258611285327e-05,0,0.77665118178048,0.00580970683448315
"Melanoma","Macrophages_M0",-0.0720933079128306,0.119273710875316,-0.305865485530892,0.161678869705231,0.545553900933155,0.535995364874464,0.0713146783184708,0.857298987180672
"Other","Macrophages_M0",0.150733244979238,0.0803775401065248,-0.00680383879547469,0.30827032875395,0.0607493353646601,0,0.504059906423145,0.445495126007507
"Lung","Macrophages_M1",-0.0908041498350504,0.0431753651531945,-0.175426310554677,-0.0061819891154236,0.0354529010459013,0,0.600360439147175,0.40409133906079
"Melanoma","Macrophages_M1",-0.161493055988504,0.120101550386599,-0.39688776923366,0.0739016572566522,0.178742306830221,0.522238108631798,0.0788516366294369,0.555816424064486
"Other","Macrophages_M1",0.00134688224585032,0.125621928250493,-0.24486757279359,0.247561337285291,0.991445474727558,0.458684544552064,0.116686038247489,0.991445474727558
"Lung","Macrophages_M2",0.0633616946455391,0.0431998738183756,-0.0213085021751518,0.14803189146623,0.14245491277012,0,0.874144565014082,0.531451394083697
