"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper"
"1",0.071254257486688,0.0564304811634011,0.348711624437087,0.126688490811366,0.374380692295021,0.022534449801146,1.62325208095371e-10,3.8429657138994e-09
"2",0.0101352961302687,0.0750189642293739,0.285929800458975,0.131681686748606,0.472337258176541,0.0248969895217279,4.6980975617442e-10,4.26469817214631e-09
"3",0.0405198349201145,0.0696034069397947,0.252495171888344,0.0975484734500305,0.516682856434577,0.0231502227449741,8.06790149196942e-11,3.35414861279796e-08
"4",0.0651553865411084,0.0764821529118736,0.265554342691356,0.120061088650976,0.44792684509154,0.0248201648199376,2.31712990285478e-09,1.69760781600452e-08
"5",0.0420978246212871,0.0741641705517833,0.268409576465078,0.141855451790062,0.451224815044808,0.0222481575620229,5.05539481918559e-10,3.45941974497979e-09
"6",0.040233852959235,0.0779757990048906,0.323009395164821,0.123084039067761,0.410518695408067,0.0251782152521663,2.79903955500516e-10,2.86315520846163e-09
"7",0.045696952724697,0.0530032982917676,0.317740053713584,0.19827701373095,0.360321171975342,0.0249614927178529,9.8297633541678e-11,1.67475087415055e-08
"8",9.03781106759514e-08,0.0528733412131073,0.319396978225542,0.122660699350537,0.473589414422052,0.0314794700849515,3.74629521270641e-10,5.95106887453131e-09
"9",0.0449899020119099,0.0762702921194859,0.294285612144346,0.0874318084281758,0.469321919127687,0.0277004629738972,5.17731114896752e-10,2.67676699355684e-09
"10",0.0543056283610468,0.0671879677254603,0.329663670041953,0.250833876969686,0.270708352070566,0.0273004740244753,6.38661135474616e-10,3.01681516913169e-08
"11",0.062579231542651,0.067395566151106,0.348096174744953,0.167050666885552,0.328391147746961,0.0264872114682826,1.42193373164617e-09,3.85604627728487e-11
"12",0.0457054463824898,0.0783882155823551,0.251500500874151,0.153795238274878,0.445284441957417,0.0253197220658724,6.43478028895042e-06,8.25482795420762e-11
"13",0.0789848020689652,0.0605628878215201,0.306354166985437,0.17111930273489,0.354891118083476,0.0280877186932515,9.69147454657866e-11,3.51554579440929e-09
"14",0.0359878131619779,0.0768875277378696,0.26463104181045,0.0844703756585145,0.509876822990779,0.0281404536038464,5.96168715103869e-06,3.34941128950392e-09
"15",0.0126701507531049,0.072348074789976,0.284295933049844,0.121526732559569,0.480064819777441,0.0290942846756127,1.37961744799831e-09,3.0148345412614e-09
"16",0.0279457276077154,0.0691635294977987,0.283031520769712,0.112485846174672,0.47805334884621,0.029320026116072,1.89719308748302e-10,7.98101295650635e-10
