"","B_cells_naive","B_cells_memory","Plasma_cells","T_cells_CD8","T_cells_CD4_naive","T_cells_CD4_memory_resting","T_cells_CD4_memory_activated","T_cells_follicular_helper"
"1",0.0418577806956752,0.020818581866494,0.283966930921389,0.0457195103154538,0.144337422012024,0.0134413301891077,6.99896150666535e-10,0.44985844329996
"2",0.0236891039383797,0.0264272684397803,0.22737467334797,0.059202076291603,0.117816915842199,0.0105867157617181,1.2675829897932e-09,0.534903245110767
"3",0.0376838902035136,0.0231146364266088,0.274898063367119,0.0428872901480146,0.122189699973116,0.0107543855546187,4.45316902073001e-09,0.48847202987384
"4",0.0896823051986379,0.0265759610006317,0.266246552393264,0.0464196963705379,0.105597016286744,0.0132764040857085,1.33714594309134e-10,0.452202064530761
"5",0.0520727810624585,0.0204361049021539,0.273509145863766,0.0677546365940546,0.110052265564807,0.0142230512480581,3.76228799138672e-11,0.461952014727079
"6",0.0391755694622637,0.0199034198900569,0.242189484089144,0.037247130779665,0.0920734425894162,0.00978397829883272,9.73510446467698e-11,0.55962697479327
"7",0.0412805782530202,0.0296027896154194,0.299381880397026,0.031745628936887,0.119108333741632,0.0135869603286495,1.15963927054074e-09,0.465293827567727
"8",0.110762573653491,0.0345337433699547,0.395539109768548,0.0954486192238488,0.176985782715682,0.0206461829351356,1.28478409011053e-10,0.166083988204861
"9",0.0847257057734663,0.0285970647762536,0.296324605830228,0.0615156319924285,0.155631895733372,0.0160119064802449,5.05253932033066e-09,0.357193184361467
"10",0.0149702643430547,0.0247529246020419,0.214430205867745,0.0552604885559922,0.145845252226848,0.0104249807439417,1.7139064991974e-08,0.534315866521311
