"Study","N","Expression","Age_Median","Age_IQR","Age_NA","Female","Male","Sex_NA","Cancer_Type","Treatment_Type","No_Response","Response","No_Progression","Progressed","PFS_Median","PFS_IQR","Alive","Dead","OS_Median","OS_IQR"
"ICB_Padron",26,"TPM",62,11,0,0,26,0,"Pancreas","PD-1/PD-L1",12,2,4,22,1,0,6,20,1,0
"ICB_Prat",15,"log2gNor",61,21,0,15,0,0,"HNC","PD-1/PD-L1",12,2,1,14,1,0,0,0,NA,NA
"ICB_Prat",50,"log2gNor",57.5,19,0,0,50,0,"HNC","PD-1/PD-L1",23,20,19,31,1,1,0,0,NA,NA
"ICB_Ravi",1,"TPM",67,NA,0,1,0,0,"Lung","IO+chemo",1,0,0,1,1,0,0,1,1,0
"ICB_Ravi",1,"TPM",65,NA,0,0,1,0,"Lung","IO+chemo",1,0,0,1,1,0,0,0,NA,NA
"ICB_Ravi",12,"TPM",NA,11.5,0,12,0,0,"Lung","IO+combo",5,7,2,9,1,0,6,6,0.5,1
"ICB_Ravi",4,"TPM",NA,11,0,0,4,0,"Lung","IO+combo",0,4,4,0,0,0,4,0,0,0
"ICB_Ravi",70,"TPM",NA,15,0,70,0,0,"Lung","PD-1/PD-L1",30,26,19,44,1,1,36,32,0,1
"ICB_Ravi",60,"TPM",NA,12.2,0,0,60,0,"Lung","PD-1/PD-L1",32,19,8,47,1,0,26,31,1,1
"ICB_Rittmeyer",125,"TPM",NA,NA,125,125,0,0,"Lung","PD-1/PD-L1",79,18,10,115,1,0,40,85,1,1
"ICB_Rittmeyer",219,"TPM",NA,NA,219,0,219,0,"Lung","PD-1/PD-L1",142,35,20,199,1,0,67,152,1,1
"ICB_Roh",7,"TPM",50,12.5,0,7,0,0,"Melanoma","CTLA4",3,3,0,0,NA,NA,4,3,0,1
"ICB_Roh",9,"TPM",61,13,0,0,9,0,"Melanoma","CTLA4",8,1,0,0,NA,NA,7,2,0,0
"ICB_Snyder",3,"TPM",78,6,0,3,0,0,"Ureteral","PD-1/PD-L1",2,0,0,3,1,0,0,3,1,0
"ICB_Snyder",22,"TPM",66,11.8,0,0,22,0,"Ureteral","PD-1/PD-L1",8,8,6,16,1,0.8,8,14,1,1
"ICB_Thibaudin",20,"TPM",64.6,14.2,0,20,0,0,"Colon","IO+chemo",4,14,5,15,1,0.2,13,7,0,1
"ICB_Thibaudin",14,"TPM",67.4,14.6,0,0,14,0,"Colon","IO+chemo",3,9,3,11,1,0,6,8,1,1
"ICB_Van_Allen",14,"TPM",53,12,0,14,0,0,"Melanoma","CTLA4",11,1,1,13,1,0,2,12,1,0
"ICB_Van_Allen",28,"TPM",67.5,19,0,0,28,0,"Melanoma","CTLA4",19,8,5,23,1,0,11,17,1,1
"ICB_Wolf",179,"log2gNor",NA,NA,179,179,0,0,"Breast","chemo",149,30,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf",687,"log2gNor",NA,NA,687,687,0,0,"Breast","chemo+targeted",461,226,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf",69,"log2gNor",NA,NA,69,69,0,0,"Breast","IO+chemo",38,31,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf",52,"log2gNor",NA,NA,52,52,0,0,"Breast","targeted",22,30,0,0,NA,NA,0,0,NA,NA
"ICB_Wolf2",71,"log2gNor",NA,NA,71,71,0,0,"Breast","IO+targeted",42,29,0,0,NA,NA,0,0,NA,NA
"ICB_Zhao",17,"TPM",59,23,0,0,17,0,"Brain","PD-1/PD-L1",7,10,6,9,1,1,8,9,1,1
